date,value
2023-07-24,904.61
2023-07-25,907.12
2023-07-26,908.78
2023-07-27,910.59
2023-07-28,914.4
2023-07-31,908.28
2023-08-01,895.18
2023-08-02,896.0
2023-08-03,902.78
2023-08-04,911.02
2023-08-07,919.05
2023-08-08,915.58
2023-08-09,916.08
2023-08-10,917.49
2023-08-11,909.77
2023-08-14,911.7
2023-08-16,914.26
2023-08-17,914.8
2023-08-18,920.76
2023-08-21,919.75
2023-08-22,917.48
2023-08-23,918.05
2023-08-24,924.38
2023-08-25,906.88
2023-08-28,905.0
2023-08-29,903.13
2023-08-30,906.69
2023-08-31,905.07
2023-09-01,908.64
2023-09-04,902.94
2023-09-05,900.45
2023-09-06,897.86
2023-09-07,902.63
2023-09-08,906.2
2023-09-11,905.75
2023-09-12,909.08
2023-09-13,901.59
2023-09-14,901.18
2023-09-15,899.08
2023-09-18,897.91
2023-09-19,898.34
2023-09-20,896.18
2023-09-21,896.45
2023-09-22,907.34
2023-09-25,901.32
2023-09-26,896.21
2023-09-27,902.22
2023-10-04,906.27
2023-10-05,913.37
2023-10-06,909.08
2023-10-10,908.25
2023-10-11,907.55
2023-10-12,898.97
2023-10-13,894.73
2023-10-16,901.98
2023-10-17,905.1
2023-10-18,902.56
2023-10-19,901.95
2023-10-20,906.18
2023-10-23,904.15
2023-10-24,903.97
2023-10-25,896.74
2023-10-26,896.98
2023-10-27,902.42
2023-10-30,903.43
2023-10-31,907.04
2023-11-01,892.39
2023-11-02,900.64
2023-11-03,892.67
2023-11-06,887.27
2023-11-07,868.8
2023-11-08,868.62
2023-11-09,865.23
2023-11-10,864.94
2023-11-13,869.22
2023-11-14,872.12
2023-11-15,881.07
2023-11-16,860.66
2023-11-17,865.29
2023-11-20,864.58
2023-11-21,871.89
2023-11-22,869.57
2023-11-23,866.54
2023-11-24,868.26
2023-11-27,870.82
2023-11-28,878.08
2023-11-29,878.27
2023-11-30,877.29
2023-12-01,871.21
2023-12-04,890.41
2023-12-05,884.53
2023-12-06,891.55
2023-12-07,891.36
2023-12-08,919.15
2023-12-11,903.09
2023-12-12,901.93
2023-12-13,904.76
2023-12-14,923.76
2023-12-15,912.04
2023-12-18,909.93
2023-12-19,909.42
2023-12-20,906.89
2023-12-21,906.35
2023-12-22,917.59
2023-12-26,914.63
2023-12-27,911.15
2023-12-28,914.16
2023-12-29,912.66
2024-01-02,915.6
2024-01-03,914.55
2024-01-04,914.76
2024-01-05,905.68
2024-01-08,907.47
2024-01-09,912.14
2024-01-10,908.94
2024-01-11,906.6
2024-01-12,906.24
2024-01-15,906.03
2024-01-16,905.09
2024-01-17,903.22
2024-01-18,906.74
2024-01-19,906.57
2024-01-22,901.91
2024-01-23,901.52
2024-01-24,900.82
2024-01-25,907.34
2024-01-26,905.04
2024-01-29,902.62
2024-01-30,906.74
2024-01-31,901.89
2024-02-01,908.19
2024-02-02,910.24
2024-02-05,892.23
2024-02-06,897.75
2024-02-07,899.65
2024-02-08,895.2
2024-02-13,888.8
2024-02-14,882.04
2024-02-15,888.48
2024-02-16,889.48
2024-02-19,888.05
2024-02-20,888.37
2024-02-21,892.2
2024-02-22,888.08
2024-02-23,884.53
2024-02-26,883.11
2024-02-27,883.57
2024-02-28,884.73
2024-02-29,885.76
2024-03-04,888.66
2024-03-05,884.2
2024-03-06,889.57
2024-03-07,894.61
2024-03-08,898.89
2024-03-11,900.47
